id,uuid,name,description,description_source,category_id,category_name,muscles_primary,muscles_secondary,equipment_list,image_url,image_thumbnail_url,is_front_image,wger_variations,embed_status,created_at,updated_at
310,27eb3d4a-8677-4c1f-bf34-251e2b4741cb,Incline Dumbbell Row,"Using a neutral grip, lean into an incline bench. Take a dumbbell in each hand with a neutral grip, beginning with the arms straight. This will be your starting position. Retract the shoulder blades and flex the elbows to row the dumbbells to your side. Pause at the top of the motion, and then return to the starting position.",wger,12,Back,"[""Latissimus dorsi"", ""Latissimus dorsi""]","[""Biceps brachii""]","[""Dumbbell"", ""Bench""]",,,1,1.0,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
312,aae91ecf-ffa4-4730-812c-cb00e423f91c,Incline Plank With Alternate Floor Touch,"Perform the plank with legs elevated, feet on a gymball. Once stabilised, slowly move one foot sideways off the ball, then make it touch the floor, then come back to starting position. Alternate with the other foot. This is a core exercise.",wger,10,Abs,"[""Rectus abdominis""]","[""Obliques""]","[""Swiss ball"", ""Bodyweight""]",,,1,45.0,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
313,312017c4-c431-46b2-86dd-b9f480617d6f,Incline Push up,"Starting Position: Place your hands on a bench or step, slightly wider than your shoulders, with your body in a straight line from head to heels.
Execution: Lower your chest toward the bench by bending your elbows. Push back up to the starting position until your arms are fully extended.
Tips: Keep your core engaged and body in a straight line. A higher incline makes the exercise easier.",gpt_generated,11,Chest,"[""Pectoralis major""]","[""Triceps brachii"", ""Anterior deltoid""]","[""Bench"", ""Bodyweight""]",,,1,8.0,pending,2026-03-29 04:49:35,2026-03-30 01:12:46
314,2f5032de-df6d-406b-b709-9223ef5c3e24,Isometric Wipers,"Assume push-up position, with hands slightly wider than shoulder width. Shift body weight as far as possible to one side, allowing the elbow on that side to flex. Reverse the motion, moving completely over to the other side. Return to the starting position, and repeat for the desired number of repetitions.",wger,11,Chest,"[""Pectoralis major""]","[""Anterior deltoid"", ""Triceps brachii""]","[""Bodyweight""]",,,1,,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
319,eeeb42ae-6a41-4127-b2ec-72376119531b,Jogging,"Starting Position: Stand with a relaxed posture.
Execution: Run at a steady, comfortable pace, landing lightly on your feet.
Tips: Maintain an upright posture and a steady breathing rhythm. Wear appropriate footwear for support.",gpt_generated,15,Cardio,"[""Quadriceps femoris"", ""Hamstrings"", ""Gastrocnemius""]","[""Gluteus maximus""]","[""Bodyweight""]",,,1,,pending,2026-03-29 04:49:35,2026-03-30 01:12:46
320,4d255f25-f199-401a-bc81-7ffab1d0ed24,Jumping Jacks,"A jumping jack or star jump, also called side-straddle hop in the US military, is a physical jumping exercise performed by jumping to a position with the legs spread wide and the hands going overhead, sometimes in a clap, and then returning to a position with the feet together and the arms at the sides",wger,9,Legs,"[""Quadriceps femoris"", ""Gastrocnemius""]","[""Anterior deltoid""]","[""Bodyweight""]",,,1,,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
323,b16e3e5d-8401-4d2b-919c-15b536f9ec5e,Cable Cross-over,"Begin with cables at about shoulder height, one in each hand. Take a step forward so that one foot is in front of the other, for stability, and so that there is tension on the cables. Bring hands together in front of you. Try to make your hands overlap (so that the cables cross) a few inches.",wger,11,Chest,"[""Pectoralis major""]","[""Anterior deltoid""]","[""Cable""]",https://wger.de/media/exercise-images/71/Cable-crossover-1.png,https://wger.de/media/exercise-images/71/Cable-crossover-1.png,0,,pending,2026-03-29 04:49:35,2026-03-29 05:39:43
331,8b311259-4f67-4dbf-9574-8c38faa92160,Kettlebell Swings,"Hold the kettlebell securely in both hands. Keep your back flat throughout the move, avoiding any rounding of the spine.Keeping your knees ""soft"", hinge your hips backwards, letting the kettlebell swing between your knees. You want to bend from the hips as far as you can without letting your back round forwards . Then, snap your hips forwards quickly and standing up straight, locking your body in an upright posture. The speed you do this will cause your arms and the kettlebell to swing up in front of you. Don't try to lift the kettlebell with your arms. The snapping forwards of your hips will cause the kettlebell to swing forwards through momentum. Depending on the weight of the kettlebell and the speed of your hip movement, your arms will swing up to about shoulder height. At the top of this swing, let your hips hinge backwards again as the kettlebell swings back down to between your legs and the start of the next repetition.",wger,9,Legs,"[""Gluteus maximus"", ""Hamstrings""]","[""Latissimus dorsi"", ""Rectus abdominis""]","[""Kettlebell""]",,,1,47.0,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
341,316aca47-6f5b-40b7-b04f-f69e68387354,Squats on Multipress,"Starting Position: Position yourself under a Smith machine bar, resting it across your upper back. Stand with feet shoulder-width apart.
Execution: Lower your body by bending your knees and hips as if sitting in a chair. Go until your thighs are parallel to the floor. Push through your heels to return to the start.
Tips: Keep your back straight and chest up. The Smith machine provides stability, allowing you to focus on the leg muscles.",gpt_generated,9,Legs,"[""Quadriceps femoris""]","[""Gluteus maximus"", ""Hamstrings""]","[""Machine""]",,,1,15.0,pending,2026-03-29 04:49:35,2026-03-30 01:12:46
346,91c47c8b-6290-4885-8921-df9aa7958c00,Landmine press,"Starting Position: Place one end of a barbell into a landmine anchor or securely in a corner. Stand facing the barbell and hold the other end with one hand near your shoulder.
Execution: Press the barbell directly overhead until your arm is fully extended. Lower the barbell with control back to the starting position.
Tips: Keep your core braced and avoid over-arching your back. This is a very shoulder-friendly pressing variation.",gpt_generated,13,Shoulders,"[""Anterior deltoid""]","[""Triceps brachii"", ""Rectus abdominis""]","[""Barbell""]",,,1,,pending,2026-03-29 04:49:35,2026-03-30 01:12:46
348,63375f5b-2d81-471c-bea4-fc3d207e96cb,Lateral Raises,"Starting Position: Stand with feet shoulder-width apart, holding a dumbbell in each hand with your palms facing your body.
Execution: Raise the dumbbells out to your sides until they reach shoulder height. Keep a slight bend in your elbows. Lower the weights slowly.
Tips: Do not swing the weights. Control the movement on the way up and down to maximize muscle tension.",gpt_generated,13,Shoulders,"[""Anterior deltoid""]",[],"[""Dumbbell""]",https://wger.de/media/exercise-images/148/lateral-dumbbell-raises-large-1.png,https://wger.de/media/exercise-images/148/lateral-dumbbell-raises-large-1.png,0,4.0,pending,2026-03-29 04:49:35,2026-03-30 01:12:46
349,57263316-6f34-4539-952b-b07e09bac3ba,"Lateral Rows on Cable, One Armed","Set cable at waist height, start with arm across your belly and move han over and out too other side, one arm at the time.",wger,13,Shoulders,"[""Anterior deltoid""]","[""Latissimus dorsi""]","[""Cable""]",https://wger.de/media/exercise-images/349/d74d171e-d39a-4c13-bbcd-6821bc94d424.png,https://wger.de/media/exercise-images/349/d74d171e-d39a-4c13-bbcd-6821bc94d424.png,0,4.0,pending,2026-03-29 04:49:35,2026-03-29 05:39:44
351,dac3c714-f0c6-4d97-8283-17be7dd77b65,Lateral-to-Front Raises,"-(1) Perform a lateral raise, pausing at the top of the lift (2). -Instead of lowering the weight, bring it to the front of your body so that you appear to be at the top position of a front raise. You will do this by using a Pec Fly motion, maintaining straight arms. (3) -Now lower the weight to your quadriceps, or, in other words, lower the dumbbells as though you are completing a Front Raise repetition. (4) -Reverse the motion: Perform a front raise (5), at the apex of the lift use a Reverse Fly motion to position the weights at the top of a Lateral Raise (6), and finally, lower the weights until your palms are essentially touching the sides of your thighs (7). THIS IS ONE REP. (1) l front view (2) -l- FV (3) l- side view (4) l SV/FV (5) l- SV (6) -l- FV (7) l FV/SV",wger,13,Shoulders,"[""Anterior deltoid""]","[""Pectoralis major""]","[""Dumbbell""]",,,1,4.0,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
354,8c496646-baa8-4ed3-97b1-702e213fdeca,Lat Pull Down (Leaning Back),"Starting Position: Sit at a lat pulldown machine and grab the bar with a wide, overhand grip. Lean your torso back slightly around 30 degrees.
Execution: Pull the bar down to your upper chest. Squeeze your back muscles at the bottom of the movement. Slowly return the bar to the starting position.
Tips: Leaning back allows you to use more weight and may engage the back muscles differently. Keep your core stable.",gpt_generated,12,Back,"[""Latissimus dorsi""]","[""Latissimus dorsi"", ""Biceps brachii""]","[""Machine"", ""Cable""]",,,1,2.0,pending,2026-03-29 04:49:35,2026-03-30 01:12:46
355,fff05d7a-f374-4c8a-9885-39f49076918f,Lat Pull Down (Straight Back),"Starting Position: Sit at a lat pulldown machine and grab the bar with a wide, overhand grip. Keep your torso upright.
Execution: Pull the bar down to your upper chest by driving your elbows down and back. Squeeze your back muscles at the bottom. Slowly return to the starting position.
Tips: Focus on pulling with your back, not your arms. Avoid leaning back excessively to use momentum.",gpt_generated,12,Back,"[""Latissimus dorsi""]","[""Latissimus dorsi"", ""Biceps brachii""]","[""Machine"", ""Cable""]",,,1,2.0,pending,2026-03-29 04:49:35,2026-03-30 01:12:46
364,48836f44-efcd-4471-a456-5f024936025a,Leg Curl,"The leg curl, also known as the hamstring curl, is an isolation exercise that targets the hamstring muscles. The exercise involves flexing the lower leg against resistance towards the buttocks. Other exercises that can be used to strengthen the hamstrings are the glute-ham raise and the deadlift.",wger,9,Legs,"[""Hamstrings""]","[""Gluteus maximus""]","[""Machine""]",https://wger.de/media/exercise-images/364/b318dde9-f5f2-489f-940a-cd864affb9e3.png,https://wger.de/media/exercise-images/364/b318dde9-f5f2-489f-940a-cd864affb9e3.png,1,14.0,pending,2026-03-29 04:49:35,2026-03-29 05:39:42
365,3bc8b411-a28d-4e1c-a6d1-769e18fe9881,Leg Curls (laying),"Lay on a bench and put your calves behind the leg holder (better if they are hold on around the lower calves). Hold a grip on the bars to make sure the body is firmly in place. Bend your legs bringing the weight up, go slowly back. During the exercise the body should not move, all work is done by the legs.",wger,9,Legs,"[""Hamstrings""]",[],"[""Machine"", ""Bench""]",https://wger.de/media/exercise-images/154/lying-leg-curl-machine-large-2.png,https://wger.de/media/exercise-images/154/lying-leg-curl-machine-large-2.png,0,14.0,pending,2026-03-29 04:49:35,2026-03-29 05:39:44
366,440a5184-de58-4a86-a7ba-76ddeafaa855,Leg Curls (sitting),"Starting Position: Sit on a leg curl machine with your legs extended and the back of your ankles under the padded lever.
Execution: Curl the pad down toward your glutes by bending your knees. Squeeze your hamstrings at the bottom. Slowly return to the starting position.
Tips: Keep your upper body still and pressed against the back pad. Do not use momentum to swing the weight.",gpt_generated,9,Legs,"[""Hamstrings""]",[],"[""Machine""]",https://wger.de/media/exercise-images/117/seated-leg-curl-large-2.png,https://wger.de/media/exercise-images/117/seated-leg-curl-large-2.png,0,14.0,pending,2026-03-29 04:49:35,2026-03-30 01:12:46
367,49189e88-40b6-4c0d-a784-0cc3abbb8e75,Leg Curls (standing),"Starting Position: Stand facing a leg curl machine. Place one ankle under the padded lever and hold onto the machine for support.
Execution: Curl the pad upward by bending your knee, bringing your heel toward your glute. Squeeze the hamstring at the top. Slowly lower back to the start.
Tips: Keep your standing leg slightly bent for stability. Isolate the movement to the hamstring of the working leg.",gpt_generated,9,Legs,"[""Hamstrings""]",[],"[""Machine""]",https://wger.de/media/exercise-images/118/standing-leg-curls-large-2.png,https://wger.de/media/exercise-images/118/standing-leg-curls-large-2.png,0,14.0,pending,2026-03-29 04:49:36,2026-03-30 01:12:46
369,62170477-90ec-463c-907e-9e523abc0a15,Leg Extension,"The leg extension is a resistance weight training exercise that targets the quadriceps muscle in the legs. The exercise is done using a machine called the Leg Extension Machine. There are various manufacturers of these machines and each one is slightly different. Most gym and weight rooms will have the machine in their facility. The leg extension is an isolated exercise targeting one specific muscle group, the quadriceps. It should not be considered as a total leg workout, such as the squat or deadlift. The exercise consists of bending the leg at the knee and extending the legs, then lowering them back to the original position.",wger,9,Legs,"[""Quadriceps femoris""]",[],"[""Machine""]",https://wger.de/media/exercise-images/369/78c915d1-e46d-4d30-8124-65d68664c3ef.png,https://wger.de/media/exercise-images/369/78c915d1-e46d-4d30-8124-65d68664c3ef.png,1,,pending,2026-03-29 04:49:40,2026-03-29 05:39:42
371,66a42396-c207-44da-bc75-758a89d32404,Leg Press,The leg press is a weight training exercise in which the individual pushes a weight or resistance away from them using their legs.,wger,9,Legs,"[""Quadriceps femoris""]","[""Gluteus maximus"", ""Hamstrings""]","[""Machine""]",https://wger.de/media/exercise-images/371/d2136f96-3a43-4d4c-9944-1919c4ca1ce1.webp,https://wger.de/media/exercise-images/371/d2136f96-3a43-4d4c-9944-1919c4ca1ce1.webp,1,15.0,pending,2026-03-29 04:49:36,2026-03-29 05:39:43
373,5f0b757c-0d6a-430b-9d5e-3bfba202878e,Leg Presses (narrow),"The exercise is very similar to the wide leg press: Sit on the machine and put your feet on the platform so far apart that you could just put another foot in between them. The feet are parallel and point up. Lower the weight so much, that the knees form a right angle. Push immediately the platform up again, without any pause. When in the lower position, the knees point a bit outwards and the movement should be always fluid.",wger,9,Legs,"[""Quadriceps femoris""]",[],"[""Machine""]",https://wger.de/media/exercise-images/373/60e2aa21-1910-40d3-9fed-babfee06dd48.png,https://wger.de/media/exercise-images/373/60e2aa21-1910-40d3-9fed-babfee06dd48.png,1,15.0,pending,2026-03-29 04:49:36,2026-03-29 05:39:42
374,661287d4-d1dc-485c-896b-73f90b000536,Leg Presses (wide),"Sit on the machine and put your feet on the platform, a bit more than shoulder wide. The feet are turned outwards by a few degrees. Lower the weight so much, that the knees form a right angle. Push immediately the platform up again, without any pause. When in the lower position, the knees point a bit outwards and the movement should be always fluid.",wger,9,Legs,"[""Quadriceps femoris""]","[""Gluteus maximus""]","[""Machine""]",,,1,15.0,pending,2026-03-29 04:49:36,2026-03-29 04:49:36
375,18104387-4567-4c1e-8d03-db0b274646dd,Leg Press on Hackenschmidt Machine,"Starting Position: Lie on your back on a hack squat machine with your shoulders against the pads and feet on the platform.
Execution: Push the platform up to release the safety latches. Lower your body by bending your knees until they are at a 90-degree angle. Push back to the starting position.
Tips: Keep your lower back pressed against the pad. Do not let your knees lock out at the top of the movement.",gpt_generated,9,Legs,"[""Quadriceps femoris""]","[""Gluteus maximus""]","[""Machine""]",https://wger.de/media/exercise-images/130/Narrow-stance-hack-squats-2-1024x721.png,https://wger.de/media/exercise-images/130/Narrow-stance-hack-squats-2-1024x721.png,0,15.0,pending,2026-03-29 04:49:36,2026-03-30 01:12:46
376,c2078aac-e4e2-4103-a845-6252a3eb795e,Leg Raise,"The leg raise is a strength training exercise which targets the iliopsoas (the anterior hip flexors). Because the abdominal muscles are used isometrically to stabilize the body during the motion, leg raises are also often used to strengthen the rectus abdominis muscle and the internal and external oblique muscles.",wger,9,Legs,"[""Rectus abdominis""]","[""Obliques""]","[""Bodyweight""]",,,1,11.0,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
377,9e34bc01-9cec-4ee2-a9bb-9c937a471c24,"Leg Raises, Lying",Lay down on a bench and hold onto the recliner with your hands to keep you stable. Hold your legs straight and lift them till they make an angle of about 45°. Make a short pause of 1 sec. and go slowly down to the initial position. To increase the intensity you can make a longer pause of 7 sec. every 5th time.,wger,10,Abs,"[""Rectus abdominis""]",[],"[""Bench"", ""Bodyweight""]",https://wger.de/media/exercise-images/125/Leg-raises-1.png,https://wger.de/media/exercise-images/125/Leg-raises-1.png,0,11.0,pending,2026-03-29 04:49:35,2026-03-29 05:39:43
378,5f514f9e-6bd9-408e-85b2-c25eb04af33b,"Leg Raises, Standing","Put your forearms on the pads on the leg raise machine, the body is hanging freely. Lift now your legs with a fast movement as high as you can, make a short pause of 1sec at the top, and bring them down again. Make sure that during the exercise your body does not swing, only the legs should move.",wger,10,Abs,"[""Rectus abdominis""]",[],"[""Machine"", ""Bodyweight""]",,,1,11.0,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
379,82aec7f9-ee03-4b24-8994-f6bde07c6a41,Leverage Machine Chest Press,Be sure to adjust seat height so that the handles are towards the bottom of your pectorals.,wger,11,Chest,"[""Pectoralis major""]","[""Triceps brachii"", ""Anterior deltoid""]","[""Machine""]",,,1,7.0,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
380,fd595232-b9ad-4216-bba1-92298f993ea9,Leverage Machine Iso Row,Adjust seat height so that the handles are at the bottom of your pectorals or just below.,wger,12,Back,"[""Latissimus dorsi""]","[""Latissimus dorsi"", ""Biceps brachii""]","[""Machine""]",,,1,1.0,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
382,16089e03-5afc-4a18-a40a-beb337806ac0,L Hold,"Starting Position: Hang from a pull-up bar with an overhand grip.
Execution: Lift your legs up in front of you, keeping them straight, until your body forms an 'L' shape. Hold this position.
Tips: This requires significant core and hip flexor strength. To build up, practice tucking your knees to your chest first.",gpt_generated,10,Abs,"[""Rectus abdominis""]",[],"[""Pull-up bar"", ""Bodyweight""]",,,1,,pending,2026-03-29 04:49:36,2026-03-30 01:12:46
386,de22963a-5d42-4999-860e-377f64359432,Diamond push ups,"Starting Position: Get into a high plank position with your hands close together so your index fingers and thumbs form a diamond shape.
Execution: Lower your chest toward your hands by bending your elbows. Push back up to the starting position, extending your arms fully.
Tips: Keep your elbows close to your body as you lower down. This variation places more emphasis on the triceps.",gpt_generated,11,Chest,"[""Triceps brachii""]","[""Pectoralis major"", ""Anterior deltoid""]","[""Bodyweight""]",,,1,8.0,pending,2026-03-29 04:49:35,2026-03-30 01:12:46
394,a7e6c20a-6ddc-4401-9935-ace2d02e3995,Long-Pulley (low Row),"Sit down, put your feet on the supporting points and grab the bar with a wide grip. Pull the weight with a rapid movement towards your belly button, not upper. Keep your arms and elbows during the movement close to your body. Your shoulders are pulled together. Let the weight slowly down till your arms are completely stretched.",wger,12,Back,"[""Latissimus dorsi""]","[""Latissimus dorsi"", ""Biceps brachii""]","[""Cable"", ""Machine""]",https://wger.de/media/exercise-images/143/Cable-seated-rows-1.png,https://wger.de/media/exercise-images/143/Cable-seated-rows-1.png,0,,pending,2026-03-29 04:49:35,2026-03-29 05:39:43
395,77c98954-b50d-46f0-9912-3981f856d5a6,"Long-Pulley, Narrow","The exercise is the same as the regular long pulley, but with a narrow grip: Sit down, put your feet on the supporting points and grab the bar with a wide grip. Pull the weight with a rapid movement towards your belly button, not upper. Keep your arms and elbows during the movement close to your body. Your shoulders are pulled together. Let the weight slowly down till your arms are completely stretched.",wger,12,Back,"[""Latissimus dorsi""]","[""Latissimus dorsi"", ""Biceps brachii""]","[""Cable"", ""Machine""]",,,1,,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
397,183e7279-f052-4c70-8381-bbbda3bb9afe,Low Box Squat - Wide Stance,"Unrack the bar and set your stance wide, beyond your hips. Push your hips back and sit down to a box that takes you below parallel. Sit completely down, do not touch and go. Then explosively stand up. Stay tight in your upper back and torso throughout the movement.",wger,9,Legs,"[""Quadriceps femoris"", ""Gluteus maximus""]","[""Hamstrings"", ""Latissimus dorsi""]","[""Barbell"", ""Other""]",,,1,12.0,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
406,aa3b4ebe-6dee-45ad-a345-cf2acebf4159,Lying Rotator Cuff Exercise,"This is an excercise for problems with the levator muscles. Primary Infraspinatus, secondary Teres Minor. Lying on side. Keep elbow on waist and in 90 dgr angle. Rotate towards stomach. Add weight as fit.",wger,13,Shoulders,"[""Anterior deltoid""]",[],"[""Dumbbell""]",,,1,,pending,2026-03-29 04:49:36,2026-03-29 04:49:36
418,7b1e458f-1857-4c2f-8463-7d67d4b2db93,Military Press mit SZ-Bar,"On an SZ-bar grip your hands on the outside of each bend and stand with your arms straight down, palms facing your legs. Pull the bar (bending your arms at the elbow) to your chest, and the push the bar above your head (arms as straight as possible). Return the bar to your chest by dropping your arms at the elbows. Return the bar to it's origional position (stand with your arms straight down, palms facing your legs.)",wger,13,Shoulders,"[""Anterior deltoid""]","[""Triceps brachii""]","[""SZ-Bar""]",https://wger.de/media/exercise-images/418/fa2a2207-43cb-4dc0-bc2a-039e32544790.png,https://wger.de/media/exercise-images/418/fa2a2207-43cb-4dc0-bc2a-039e32544790.png,1,5.0,pending,2026-03-29 04:49:35,2026-03-29 05:39:42
423,0027b172-a83e-4f79-af47-483302a22c02,Muscle up,"The body is then explosively pulled up by the arms in a radial pull-up, with greater speed than a regular pull-up. When the bar approaches the upper chest, the wrists are swiftly flexed to bring the forearms above the bar. The body is leaned forward, and the elbows are straightened by activating the triceps. The routine is considered complete when the bar is at the level of the waist and the arms are fully straight. To dismount, the arms are bent at the elbow, and the body is lowered to the floor, and the exercise can be repeated. As a relatively advanced exercise, muscle-ups are typically first learned with an assistive kip. The legs swing (kip) up and provide momentum to assist in the explosive upward force needed to ascend above the bar. More advanced athletes can perform a strict variation of the muscle-up which is done slowly, without any kip. This variation begins with a still dead hang and uses isometric muscle contraction to ascend above the bar in a slow, controlled fashion.",wger,12,Back,"[""Latissimus dorsi"", ""Latissimus dorsi""]","[""Triceps brachii"", ""Pectoralis major"", ""Rectus abdominis""]","[""Pull-up bar"", ""Bodyweight""]",,,1,,pending,2026-03-29 04:49:36,2026-03-29 04:49:36
427,cbc5fbc9-9bca-4766-941d-4b6903d4a521,Negative Crunches,"Sit yourself on the decline bench and fix your legs. Cross your arms over the chest and bring with a rolling movement your upper body up, go now without a pause and with a slow movement down again. Don't let your head move during the exercise.",wger,10,Abs,"[""Rectus abdominis""]",[],"[""Bench"", ""Bodyweight""]",https://wger.de/media/exercise-images/93/Decline-crunch-2.png,https://wger.de/media/exercise-images/93/Decline-crunch-2.png,0,10.0,pending,2026-03-29 04:49:35,2026-03-29 05:39:43
439,c7058ff8-ca3b-4822-abdb-6341ce37c4d1,Overhand Cable Curl,"Starting Position: Stand facing a low pulley with a straight bar attachment. Grasp the bar with an overhand, shoulder-width grip.
Execution: Curl the bar upward toward your shoulders, keeping your upper arms stationary. Squeeze at the top of the movement, then slowly lower the bar.
Tips: Keep your wrists straight and avoid using body momentum. This grip emphasizes the brachioradialis and forearm muscles.",gpt_generated,10,Abs,"[""Biceps brachii""]",[],"[""Cable""]",,,1,,pending,2026-03-29 04:49:36,2026-03-30 01:12:46
441,bc45125b-58da-4ee9-8895-16a7b930b789,Overhead Squat,"The barbell is held overhead in a wide-arm snatch grip; however, it is also possible to use a closer grip if balance allows.",wger,9,Legs,"[""Quadriceps femoris""]","[""Anterior deltoid"", ""Latissimus dorsi"", ""Gluteus maximus""]","[""Barbell""]",,,1,12.0,pending,2026-03-29 04:49:40,2026-03-29 04:49:40
445,6441ff9e-037e-48d9-8800-67b430dc8e37,Pause Bench,"Lower the bar to your chest and pause (but do not rest) there for 2 seconds. Press back up. use the same weight you would on bench press, but perform only single reps. Total the number of reps you did in one set of bench press (if you did 3 sets of 8 do 8 sinlge pause bench reps.",wger,11,Chest,"[""Pectoralis major""]","[""Triceps brachii"", ""Anterior deltoid""]","[""Barbell"", ""Bench""]",,,1,7.0,pending,2026-03-29 04:49:36,2026-03-29 04:49:36
448,748e9635-7958-4a41-b1ed-93de74c7ef72,Pendelay Rows,Back excercise with a barbell with a starting position which is in a bent over position with the back paralell to the ground. The barbell is on the ground at chest level.For the movement grab the barbell at shoulder width grip and pull towards your chest without losing the bent over position and without moving anything but your arms,wger,12,Back,"[""Latissimus dorsi""]","[""Latissimus dorsi"", ""Biceps brachii""]","[""Barbell""]",,,1,1.0,pending,2026-03-29 04:49:36,2026-03-29 04:49:36
454,3b96a05b-9705-48da-b43e-6e098234bb35,Pike Push Ups,"Starting Position: Start in a push-up position. Walk your feet closer to your hands, lifting your hips into an inverted ""V"" shape.
Execution: Bend your elbows to lower the top of your head toward the floor. Press back up until your arms are fully extended.
Tips: Keep your hips high throughout the movement. This is a great precursor to a handstand push-up.",gpt_generated,8,Arms,"[""Anterior deltoid""]","[""Triceps brachii""]","[""Bodyweight""]",,,1,,pending,2026-03-29 04:49:36,2026-03-30 01:12:46
456,fe04cf35-1af5-4b51-89d4-c38d7eaa0db1,Pistol Squat,"Stand with feet hip-width apart, toes pointed forward, and chest tall. Extend your leg straight out; extend both arms in front of you, at shoulder level. Brace your core and look straight ahead. Slowly squat down. (optional) pause at the bottom. Keep your (free) leg and arms extended for the whole duration.",wger,9,Legs,"[""Quadriceps femoris""]","[""Gluteus maximus"", ""Hamstrings""]","[""Bodyweight""]",https://wger.de/media/exercise-images/456/b8f007b1-d43f-416d-a44b-fb3c15291414.jpg,https://wger.de/media/exercise-images/456/b8f007b1-d43f-416d-a44b-fb3c15291414.jpg,0,12.0,pending,2026-03-29 04:49:36,2026-03-29 05:39:44
458,c9e57bbe-e839-44c6-861d-1c8dd2845e36,Plank,Get into a position on the floor supporting your weight on your forearms and toes. Arms are bent and directly below the shoulder. Keep your body straight at all times and hold this position as long as possible. To increase difficulty an arm or leg can be raised while performing this exercise.,wger,10,Abs,"[""Rectus abdominis""]","[""Latissimus dorsi""]","[""Bodyweight""]",https://wger.de/media/exercise-images/458/122735cf-f940-4de8-aa30-49a1da148319.png,https://wger.de/media/exercise-images/458/122735cf-f940-4de8-aa30-49a1da148319.png,0,45.0,pending,2026-03-29 04:49:36,2026-03-29 05:39:44
465,dd52fb99-9426-4a78-b446-20a8e3e4ec47,Preacher Curls,Place the EZ curl bar on the rest handles in front of the preacher bench. Lean over the bench and grab the EZ curl bar with palms up. Sit down on the preacher bench seat so your upper arms rest on top of the pad and your chest is pressed against the pad. Lower the weight until your elbows are extended and arms are straight. Bring the weights back up to the starting point by contracting biceps. Repeat,wger,8,Arms,"[""Biceps brachii""]",[],"[""SZ-Bar"", ""Bench""]",https://wger.de/media/exercise-images/193/Preacher-curl-3-2.png,https://wger.de/media/exercise-images/193/Preacher-curl-3-2.png,0,16.0,pending,2026-03-29 04:49:36,2026-03-29 05:39:43
468,9cb69afc-7a44-4a22-b9a9-7bde8aca5b11,Prone Scapular Retraction - Arms at Side,"Lying on stomach with head on towel. Stretch arms straight out to your sides. Slowly lift your arms, pulling your shoulderblades together, hold for 3 seconds.",wger,12,Back,"[""Latissimus dorsi""]","[""Anterior deltoid""]","[""Bodyweight""]",,,1,,pending,2026-03-29 04:49:36,2026-03-29 04:49:36
475,8e420408-0682-4ab6-89f5-2681e54c7ce0,Pull-ups,"Grab the pull up bar with a wide grip, the body is hanging freely. Keep your chest out and pull yourself up till your chin reaches the bar or it touches your neck, if you want to pull behind you. Go with a slow and controlled movement down, always keeping the chest out.",wger,12,Back,"[""Latissimus dorsi""]","[""Latissimus dorsi"", ""Biceps brachii""]","[""Pull-up bar"", ""Bodyweight""]",https://wger.de/media/exercise-images/475/b0554016-16fd-4dbe-be47-a2a17d16ae0e.jpg,https://wger.de/media/exercise-images/475/b0554016-16fd-4dbe-be47-a2a17d16ae0e.jpg,1,40.0,pending,2026-03-29 04:49:36,2026-03-29 05:39:42
477,7f834f07-fa7b-46b6-8ffa-45930b0602db,Pull Ups on Machine,"Starting Position: Use an assisted pull-up machine or a pull-up machine with a weighted stack. Grasp the handles with an overhand grip.
Execution: Pull your body up until your chin is over the handles. Slowly lower yourself back to the starting position.
Tips: Focus on using your back muscles. Adjust the assistance or weight to provide a challenging but manageable resistance.",gpt_generated,12,Back,"[""Latissimus dorsi""]","[""Latissimus dorsi"", ""Biceps brachii""]","[""Machine""]",,,1,40.0,pending,2026-03-29 04:49:36,2026-03-30 01:12:46
478,4284336c-6cfa-4c4d-a440-26b30db035d1,Push Press,"Clean your dumbbells onto your shoulders, palms facing in. Take a breath and brace your core. (picture 1) Dip at the knees and use your legs to help (picture 2) press your dumbbells overhead. Lower under control with a slow tempo to your shoulders and repeat.",wger,13,Shoulders,"[""Anterior deltoid""]","[""Triceps brachii"", ""Quadriceps femoris""]","[""Dumbbell""]",https://wger.de/media/exercise-images/478/70a2d72c-a822-45f3-8de2-54ea85951b84.jpg,https://wger.de/media/exercise-images/478/70a2d72c-a822-45f3-8de2-54ea85951b84.jpg,1,5.0,pending,2026-03-29 04:49:36,2026-03-29 05:39:42
