name,cuisine_type,calories,protein,carbs,fat,diet_tags,description,embed_status,image_url
Vegan Coconut Zucchini Chocolate Chip Bread,american,3735,45.07,364.82,232.78,"[""vegan""]","Bánh mì bí ngòi dừa socola, ẩm mịn và ngọt ngào cho bữa sáng năng lượng.",pending,https://your-domain.com/images/default-meal.png
Roasted Cauliflower and Almond Risotto,italian,2350,71.43,255.83,115.68,"[""vegan""]","Risotto súp lơ nướng và hạnh nhân, dẻo thơm và bùi béo đầy tinh tế.",pending,https://your-domain.com/images/default-meal.png
Vegan Kale and White Bean Korma,american,2235,110.61,344.48,46.11,"[""vegan""]","Cà ri Korma cải xoăn và đậu trắng, béo ngậy nước cốt dừa thơm nồng.",pending,https://your-domain.com/images/default-meal.png
Vegan Stovetop-Style Macaroni and Cheese Recipe,american,2650,57.7,264.11,151.45,"[""vegan""]","Nui sốt phô mai nấu chảo nhanh gọn, béo mịn và cực kỳ tiện lợi.",pending,https://your-domain.com/images/default-meal.png
Salmon with Stone Fruit and Parmesan Salad,nordic,1625,87.02,43.49,122.55,"[""vegan""]","Cá hồi áp chảo kèm salad trái cây, sự hòa quyện tinh tế giữa mặn và ngọt.",pending,https://your-domain.com/images/default-meal.png
Vegan Caesar Salad with Polenta Croutons,american,1666,75.65,219.09,54.16,"[""vegan""]","Salad Caesar thuần chay với bánh ngô giòn, sốt béo ngậy và rau tươi mát.",pending,https://your-domain.com/images/default-meal.png
Mango Rice with Mustard,indian,1253,18.61,178.66,51.56,"[""vegan""]","Cơm xoài hạt mù tạt lạ miệng, vị chua ngọt kích thích vị giác tuyệt vời.",pending,https://your-domain.com/images/default-meal.png
Satay sweet potato curry,south east asian,1712,30.05,156.04,107.5,"[""vegan""]","Cà ri khoai lang sốt đậu phộng, đậm đà hương vị Đông Nam Á đặc trưng.",pending,https://your-domain.com/images/default-meal.png
Bean & halloumi stew,french,1404,54.94,133.87,72.08,"[""vegan""]","Đậu hầm phô mai Halloumi áp chảo, món ăn ấm áp và giàu dinh dưỡng.",pending,https://your-domain.com/images/default-meal.png
Yellow Split-Pea Soup,french,1818,113.42,313.22,12.41,"[""vegan""]","Súp đậu hà lan vàng sánh mịn, vị ngọt thanh và cực kỳ bổ dưỡng.",pending,https://your-domain.com/images/default-meal.png
Lamington babka - chocolate and coconut vegan brioche,american,3577,67.84,520.26,136.02,"[""vegan""]","Bánh mì Babka socola dừa, lớp bánh mềm xốp quyện nhân ngọt ngào.",pending,https://your-domain.com/images/default-meal.png
(Absolutely not a Falafel) Vegan Lentil Falafel,american,741,46.33,133.73,2.36,"[""vegan""]","Chả đậu lăng chiên giòn rụm, món ăn nhẹ giàu đạm và đầy hương vị.",pending,https://your-domain.com/images/default-meal.png
Spinach Fettuccine with Tangy Grilled Summer Squash,american,3128,79.87,404.91,132.08,"[""vegan""]","Mì Ý rau bina kèm bí ngòi nướng, vị chua thanh nhẹ nhàng đầy lôi cuốn.",pending,https://your-domain.com/images/default-meal.png
Spicy Vegan Dragon Noodle Salad Recipe,american,2067,57.2,255.09,90.89,"[""vegan""]","Salad mì Rồng cay nồng, sự bùng nổ hương vị trong từng sợi mì dai.",pending,https://your-domain.com/images/default-meal.png
Meal-Prep Vegan Moroccan Lettuce Wraps,american,3507,181.37,572.53,54.59,"[""vegan""]","Cuốn xà lách kiểu Ma-rốc, tiện lợi cho bữa trưa lành mạnh và đủ chất.",pending,https://your-domain.com/images/default-meal.png
Papadums With Whipped Dal,indian,1297,55.86,135.98,58.81,"[""vegan""]","Bánh tráng Ấn Độ kèm đậu lăng nghiền, món khai vị giòn tan và đậm đà.",pending,https://your-domain.com/images/default-meal.png
Oil-free Vegan Pesto Pasta Salad,american,1721,31.33,303.87,42.21,"[""vegan""]","Salad mì sốt Pesto không dầu, thanh nhẹ và tốt cho tim mạch.",pending,https://your-domain.com/images/default-meal.png
Vegan Pasta Alfredo With Two Stroganoff Variations,american,1606,70.53,254.29,34.09,"[""vegan""]","Mì Alfredo thuần chay béo ngậy, biến tấu độc đáo với hương vị nấm đậm đà.",pending,https://your-domain.com/images/default-meal.png
Kimchi Udon Noodle Soup,asian,1088,55.59,161.65,24.36,"[""vegan""]","Mì Udon súp Kimchi cay nồng, món ăn ấm bụng cho những ngày mưa.",pending,https://your-domain.com/images/default-meal.png
Vegan Chocolate-Peanut Butter Pudding Cups,british,4065,65.49,340.58,271.16,"[""vegan""]","Pudding socola bơ đậu phộng, món tráng miệng béo ngậy và ngọt ngào khó cưỡng.",pending,https://your-domain.com/images/default-meal.png
Shiny Happy Poppers,french,1968,32.06,200.02,115.51,"[""vegan""]","Bánh nhỏ xinh giòn rụm, món ăn nhẹ vui vẻ cho mọi buổi tiệc.",pending,https://your-domain.com/images/default-meal.png
Spinach Dip,american,1483,30.78,43.04,132.01,"[""vegan""]","Sốt chấm rau bina béo mịn, ăn kèm bánh mì nướng giòn cực kỳ hợp vị.",pending,https://your-domain.com/images/default-meal.png
Vegan Salty Peanut Butter Ice Cream Recipe,american,4728,79.44,310.67,351.96,"[""vegan""]","Kem bơ đậu phộng muối, sự kết hợp mặn ngọt hoàn hảo và béo ngậy.",pending,https://your-domain.com/images/default-meal.png
Vegan Sweet Potato and Pumpkin Pudding Cups,british,1353,17.94,154.04,73.94,"[""vegan""]","Pudding khoai lang bí đỏ, vị ngọt tự nhiên và kết cấu mịn mượt.",pending,https://your-domain.com/images/default-meal.png
Sticky toffee pear pudding,british,5920,38.94,975.75,206.75,"[""vegan""]","Pudding lê sốt bơ đường dẻo quánh, món tráng miệng kiểu Anh đầy quyến rũ.",pending,https://your-domain.com/images/default-meal.png
Foolproof Vegan Vanilla Coconut Ice Cream Recipe,american,3078,22.14,253.66,219.45,"[""vegan""]","Kem vani cốt dừa thuần chay, mát lạnh và thơm lừng hương vị tự nhiên.",pending,https://your-domain.com/images/default-meal.png
"Vegan, Gluten Free Butternut Squash Gratin",american,2070,104.45,273.06,62.21,"[""vegan""]","Bí đỏ bỏ lò phô mai chay, lớp phủ giòn tan và nhân mềm ngọt.",pending,https://your-domain.com/images/default-meal.png
Vegan Toasted Coconut And Pistachio Ice Cream,american,1611,15.14,143.93,108.29,"[""vegan""]","Kem dừa nướng và hạt dẻ cười, bùi béo và thơm lừng hương vị nhiệt đới.",pending,https://your-domain.com/images/default-meal.png
Chana Masala Pockets with Tofu and Arugula,asian,4263,212.76,609.53,108.18,"[""vegan""]","Bánh kẹp cà ri đậu gà và đậu hũ, đậm đà gia vị và rau tươi.",pending,https://your-domain.com/images/default-meal.png
Vegan Chocolate Cake with Creamy Chocolate Filling,american,6464,82.81,942.6,262.43,"[""vegan""]","Bánh socola nhân kem đậm đà, món quà ngọt ngào cho tín đồ hảo ngọt.",pending,https://your-domain.com/images/default-meal.png
Vegan Quinoa-Cranberry Stuffed Acorn Squash,american,2152,45.69,339.78,67.84,"[""vegan""]","Bí ngô nhồi Quinoa và nam việt quất, món ăn rực rỡ và giàu dinh dưỡng.",pending,https://your-domain.com/images/default-meal.png
Karina's Gluten-Free Pumpkin Pie With Praline And Coconut-Pecan Crust,american,5653,43.53,604.47,340.12,"[""vegan""]","Bánh tart bí ngô hạt dẻ, đế bánh giòn thơm và nhân mịn màng.",pending,https://your-domain.com/images/default-meal.png
Vegan Vanilla Bean Coconut Milk Ice Cream,american,2314,17.2,154.45,180.78,"[""vegan""]","Kem dừa vani nguyên chất, mát lạnh và béo ngậy từ nước cốt dừa.",pending,https://your-domain.com/images/default-meal.png
Strawberries with Pomegranate Molasses and Vegan Whip Cream,american,2101,16.29,206.68,134.38,"[""vegan""]","Dâu tây sốt lựu và kem tươi chay, món tráng miệng thanh tao và quyến rũ.",pending,https://your-domain.com/images/default-meal.png
Vegan Wild-Rice-Stuffed Butternut Squash,american,2072,37.1,306.15,77.66,"[""vegan""]","Bí đỏ nhồi gạo hoang dã, món ăn sang trọng và đầy đủ dưỡng chất.",pending,https://your-domain.com/images/default-meal.png
Mini Vegan Key Lime Icebox Pies,american,8612,34.73,315.21,801.39,"[""vegan""]","Bánh tart chanh nhỏ xinh mát lạnh, vị chua thanh sảng khoái tan nhanh.",pending,https://your-domain.com/images/default-meal.png
Foolproof Vegan Chocolate Coconut Ice Cream Recipe,american,3216,28.47,271.83,223.87,"[""vegan""]","Kem socola cốt dừa đậm đà, món tráng miệng thuần chay dễ làm tại nhà.",pending,https://your-domain.com/images/default-meal.png
Creamy Vegan Saag Paneer (With Tofu) Recipe,asian,1094,50.62,81.39,62.87,"[""vegan""]","Cà ri rau bina đậu hũ béo ngậy, phiên bản thuần chay của món Ấn kinh điển.",pending,https://your-domain.com/images/default-meal.png
Spiced Butternut Squash Lentil Soup (Vegan),american,1507,64.65,236.09,33.82,"[""vegan""]","Súp bí đỏ đậu lăng thơm nồng gia vị, ấm áp và giàu năng lượng.",pending,https://your-domain.com/images/default-meal.png
"Gluten-Free, Vegan Cranberry-Almond Tartlets",american,3558,71.0,418.03,177.94,"[""vegan""]","Bánh tart nam việt quất hạnh nhân, nhỏ xinh và hoàn toàn không chứa gluten.",pending,https://your-domain.com/images/default-meal.png
Flying Tofu Wedges,asian,671,56.97,25.88,37.72,"[""vegan""]","Đậu hũ chiên giòn rụm, món ăn nhẹ đơn giản nhưng cực kỳ bắt miệng.",pending,https://your-domain.com/images/default-meal.png
"Vegan Quinoa, Broccoli, and Kale Curry Recipe",american,1312,42.54,161.71,55.0,"[""vegan""]","Cà ri Quinoa và rau xanh, món ăn siêu thực phẩm giàu dinh dưỡng.",pending,https://your-domain.com/images/default-meal.png
"Vegan Coconut, Lime, and Rum Ice Cream Recipe",american,3077,22.2,253.22,219.46,"[""vegan""]","Kem dừa chanh rượu Rum, hương vị nhiệt đới nồng nàn và sảng khoái.",pending,https://your-domain.com/images/default-meal.png
Easy Vegan Pressure-Cooker Miso Risotto Recipe,japanese,2330,37.37,347.3,87.9,"[""vegan""]","Risotto Miso nấu nhanh bằng nồi áp suất, đậm đà hương vị Umami Nhật Bản.",pending,https://your-domain.com/images/default-meal.png
Mak Kimchi,south east asian,227,16.34,36.04,1.92,"[""vegan""]","Kimchi cải thảo cắt miếng, vị chua cay giòn tan chuẩn vị truyền thống.",pending,https://your-domain.com/images/default-meal.png
Southern Skillet Black-Eyed Peas with Quick Buttery Biscuits,mediterranean,5064,83.85,497.26,304.42,"[""vegan""]","Đậu mắt đen hầm kèm bánh quy bơ, món ăn ấm cúng kiểu miền Nam.",pending,https://your-domain.com/images/default-meal.png
"Butternut, chestnut & lentil cake",south east asian,4011,123.25,624.69,113.28,"[""vegan""]","Bánh bí đỏ hạt dẻ và đậu lăng, sự kết hợp bùi béo và độc đáo.",pending,https://your-domain.com/images/default-meal.png
Pink Pasta - with a creamy vegan vegetable sauce,american,1831,63.96,356.1,16.77,"[""vegan""]","Mì Ý hồng sốt rau củ béo ngậy, màu sắc rực rỡ từ củ dền tươi.",pending,https://your-domain.com/images/default-meal.png
Garlic Potato Kale Cakes,central europe,1745,39.38,301.21,42.49,"[""vegan""]","Bánh khoai tây tỏi và cải xoăn, áp chảo vàng giòn thơm nức mũi.",pending,https://your-domain.com/images/default-meal.png
"Vegan Potato, Pepper and Olive Phyllo Cups",mediterranean,2608,65.91,373.92,94.34,"[""vegan""]","Bánh xếp khoai tây và ô liu, lớp vỏ Phyllo giòn tan đầy tinh tế.",pending,https://your-domain.com/images/default-meal.png
Barbecued Tofu Burger,asian,1676,66.13,259.53,41.51,"[""vegan""]","Burger đậu hũ sốt BBQ đậm đà, món chay nướng thơm lừng hấp dẫn.",pending,https://your-domain.com/images/default-meal.png
Sweet Potato-Black Bean Burgers,american,2114,78.61,299.8,66.66,"[""vegan""]","Burger khoai lang đậu đen, vị ngọt bùi và giàu đạm thực vật lành mạnh.",pending,https://your-domain.com/images/default-meal.png
Gluten- and Dairy-Free Pie Crust,american,1724,19.84,146.62,117.59,"[""vegan""]","Đế bánh tart không gluten và sữa, giòn xốp hoàn hảo cho mọi loại nhân.",pending,https://your-domain.com/images/default-meal.png
Homemade Vegan Burgers That Don't Suck Recipe,american,3663,116.52,408.38,173.73,"[""vegan""]","Burger chay tự làm cực ngon, kết cấu chắc chắn và hương vị đậm đà.",pending,https://your-domain.com/images/default-meal.png
Baked mini gluten free vegan vanilla donuts,american,1315,6.74,206.28,51.41,"[""vegan""]","Bánh donut vani nhỏ xinh bỏ lò, ngọt ngào và hoàn toàn không gluten.",pending,https://your-domain.com/images/default-meal.png
Vegan Beet Burgers with Sweet Chili Slaw,american,1976,55.2,303.88,59.95,"[""vegan""]","Burger củ dền kèm salad rau củ, màu sắc bắt mắt và vị ngọt tự nhiên.",pending,https://your-domain.com/images/default-meal.png
Red Lentil Soup with Lime,french,1035,53.51,161.56,19.46,"[""vegan""]","Súp đậu lăng đỏ chanh tươi, vị thanh nhẹ và cực kỳ bổ dưỡng.",pending,https://your-domain.com/images/default-meal.png
Our Favorite Chocolate Cake,american,2688,25.32,408.54,105.86,"[""vegan""]",Bánh socola yêu thích với cốt bánh ẩm mềm và lớp phủ đậm đà.,pending,https://your-domain.com/images/default-meal.png
The Saint Jamez Benedict,american,2289,67.18,126.42,168.33,"[""vegan""]","Bánh Benedict phiên bản chay sang trọng, điểm tâm hoàn hảo cho ngày cuối tuần.",pending,https://your-domain.com/images/default-meal.png
Mexican Mushroom and Spinach Sandwich (Vegan Torta) Recipe,american,1535,47.97,185.14,66.94,"[""vegan""]","Bánh mì kẹp nấm và rau bina kiểu Mexico, đậm đà và no bụng.",pending,https://your-domain.com/images/default-meal.png
"Vegan Mushroom ""Jerky"" (Slow-Roasted Mushroom Strips)",american,282,6.67,32.45,14.0,"[""vegan""]","Khô nấm nướng chậm dai ngon, món ăn vặt đậm đà và giàu đạm.",pending,https://your-domain.com/images/default-meal.png
Roasted Vegan Cauliflower Soup with Parsley-Chive Swirl,american,4846,125.49,260.01,367.16,"[""vegan""]","Súp súp lơ nướng thơm lừng, trang trí bằng sốt thảo mộc xanh mướt.",pending,https://your-domain.com/images/default-meal.png
Spaghetti and Soyballs,italian,2412,129.78,282.3,84.87,"[""vegan""]","Mì Ý và viên đậu nành hầm sốt cà chua, món ăn kinh điển phiên bản chay.",pending,https://your-domain.com/images/default-meal.png
Vegan Pumpkin Pie With Rustic Spelt Crust,american,3468,50.19,470.24,154.08,"[""vegan""]","Bánh tart bí ngô đế lúa mạch, hương vị mộc mạc và ngọt ngào.",pending,https://your-domain.com/images/default-meal.png
Vegan Southern-Style Collard Greens With Mushrooms Recipe,american,2130,55.98,115.89,160.31,"[""vegan""]","Rau cải xanh hầm nấm kiểu miền Nam, đậm đà và giàu chất xơ.",pending,https://your-domain.com/images/default-meal.png
Organic Lentil and Rice Stuffed Peppers,mediterranean,2223,115.69,347.98,40.9,"[""vegan""]","Ớt chuông nhồi đậu lăng và cơm, món ăn rực rỡ và đầy đủ dưỡng chất.",pending,https://your-domain.com/images/default-meal.png
Blender Sweet Potato Pie,south american,1985,20.34,253.96,98.65,"[""vegan""]","Bánh khoai lang làm bằng máy xay, nhanh gọn và mịn mượt như nhung.",pending,https://your-domain.com/images/default-meal.png
Jackfruit Sloppy Joes,american,1431,24.71,272.95,26.66,"[""vegan""]","Bánh mì kẹp mít non sốt đậm đà, kết cấu dai ngon như thịt xé.",pending,https://your-domain.com/images/default-meal.png
"Vegan Farro Risotto with Fennel, Peas and Greens",italian,1615,41.38,190.32,76.47,"[""vegan""]","Risotto lúa mì Farro với thì là và đậu hà lan, dẻo thơm bổ dưỡng.",pending,https://your-domain.com/images/default-meal.png
Crisp Tofu and Thai Cucumber Raita,south east asian,613,26.96,34.41,40.89,"[""vegan""]","Đậu hũ giòn kèm salad dưa leo kiểu Thái, thanh mát và giải nhiệt.",pending,https://your-domain.com/images/default-meal.png
CrisSpi Asian Tofu Sandwich,asian,3529,150.3,464.12,119.07,"[""vegan""]","Bánh mì kẹp đậu hũ giòn kiểu Á, sự hòa quyện tuyệt vời của gia vị.",pending,https://your-domain.com/images/default-meal.png
Vegan Coconut-Lime Panna Cotta with Mango Jam,american,1189,17.71,157.36,54.27,"[""vegan""]","Panna cotta dừa chanh kèm mứt xoài, món tráng miệng nhiệt đới mát lạnh.",pending,https://your-domain.com/images/default-meal.png
Vegan Kale and Black Sesame Sushi Bowl,japanese,1576,33.12,258.51,45.52,"[""vegan""]","Bát Sushi cải xoăn và mè đen, tươi ngon và giàu dinh dưỡng Nhật Bản.",pending,https://your-domain.com/images/default-meal.png
Vegan Curry Butternut Squash Soup With Kale Recipe,american,1340,37.46,163.3,59.63,"[""vegan""]","Súp bí đỏ cà ri và cải xoăn, ấm áp và tràn đầy năng lượng.",pending,https://your-domain.com/images/default-meal.png
Vegan Cream of Mushroom and Wild Rice Soup,american,1523,47.23,183.97,66.42,"[""vegan""]","Súp kem nấm và gạo hoang dã, sánh mịn và thơm nồng hương nấm.",pending,https://your-domain.com/images/default-meal.png
Vegetarian Pasta Puttanesca,italian,2112,54.02,303.41,75.85,"[""vegan""]","Mì Ý sốt Puttanesca đậm đà, vị mặn mòi từ ô liu và nụ tầm xuân.",pending,https://your-domain.com/images/default-meal.png
Corn Soup with Tofu Larb,asian,2123,88.69,267.57,77.5,"[""vegan""]","Súp bắp kèm gỏi đậu hũ Larb, sự kết hợp độc đáo và lạ miệng.",pending,https://your-domain.com/images/default-meal.png
"Tomato, pepper & bean one pot",mexican,3007,161.21,531.46,26.21,"[""vegan""]","Món hầm cà chua, ớt chuông và đậu, đậm chất Mexico trong một chiếc nồi.",pending,https://your-domain.com/images/default-meal.png
THE BEST VEGAN CORN TACOS WITH BELL PEPPER AND CILANTRO,american,1034,19.99,144.88,41.58,"[""vegan""]","Tacos ngô ngon nhất với ớt chuông và ngò rí, tươi mát và rực rỡ.",pending,https://your-domain.com/images/default-meal.png
"Carrot, Pea, and Mint Salad Recipe",mediterranean,1119,17.22,75.91,82.92,"[""vegan""]","Salad cà rốt, đậu hà lan và bạc hà, thanh nhẹ và cực kỳ sảng khoái.",pending,https://your-domain.com/images/default-meal.png
Beet and Citrus Salad With Pine Nut Vinaigrette Recipe,american,1694,24.74,156.71,107.6,"[""vegan""]","Salad củ dền và cam quýt, vị chua ngọt quyện cùng hạt thông bùi.",pending,https://your-domain.com/images/default-meal.png
Easy Vegan Soba Noodles with Peanut Sauce Recipe,asian,2604,100.27,392.87,70.17,"[""vegan""]","Mì Soba sốt đậu phộng nhanh gọn, món ăn thanh đạm và giàu đạm.",pending,https://your-domain.com/images/default-meal.png
Tomato-Garlic Focaccia - My Vegan Italian Flatbread,american,1630,29.81,323.46,24.1,"[""vegan""]","Bánh mì Focaccia cà chua tỏi, thơm nức mùi thảo mộc và vỏ giòn.",pending,https://your-domain.com/images/default-meal.png
Gluten-Free Low-Fat Vegan Oatmeal Muffins Recipe,american,2201,36.6,395.9,52.33,"[""vegan""]","Bánh muffin yến mạch ít béo, lựa chọn hoàn hảo cho bữa sáng lành mạnh.",pending,https://your-domain.com/images/default-meal.png
Light Yakisoba Noodles,asian,909,26.81,120.31,35.64,"[""vegan""]","Mì xào Yakisoba nhẹ nhàng, đầy ắp rau củ và thấm đẫm sốt đặc trưng.",pending,https://your-domain.com/images/default-meal.png
Barbecue Slawpy Jacks,american,2130,28.7,376.7,56.48,"[""vegan""]","Bánh mì kẹp mít non sốt BBQ, ăn kèm salad bắp cải giòn tan.",pending,https://your-domain.com/images/default-meal.png
Gigante Beans a la Zaytinya,american,925,29.56,98.08,46.07,"[""vegan""]","Đậu khổng lồ hầm kiểu Zaytinya, đậm đà hương vị Địa Trung Hải tinh tế.",pending,https://your-domain.com/images/default-meal.png
Vegan Chickpea Chile Soup with Greens and Grains,american,1418,56.37,226.91,31.65,"[""vegan""]","Súp đậu gà cay với rau xanh và ngũ cốc, món ăn bổ dưỡng.",pending,https://your-domain.com/images/default-meal.png
Vegan Garden Pesto With Miso and Mixed Herbs Recipe,american,1242,10.74,18.94,124.83,"[""vegan""]","Sốt Pesto thảo mộc và Miso, hương vị Umami độc đáo và xanh mát.",pending,https://your-domain.com/images/default-meal.png
Fig Salad inspired by Yotam Ottolenghi,american,1157,22.07,156.75,49.11,"[""vegan""]","Salad sung tươi đầy cảm hứng, sự kết hợp tinh tế giữa ngọt và thanh.",pending,https://your-domain.com/images/default-meal.png
Mexican Fried Eggplant Sandwich (Vegan Tortas and Pambazos) Recipe,american,3980,61.37,316.97,274.04,"[""vegan""]","Bánh mì kẹp cà tím chiên kiểu Mexico, giòn rụm và đậm đà gia vị.",pending,https://your-domain.com/images/default-meal.png
Summer tomato lazy bruschetta,italian,1273,37.03,180.61,44.77,"[""vegan""]","Bánh mì nướng cà chua mùa hè, món khai vị đơn giản mà tinh tế.",pending,https://your-domain.com/images/default-meal.png
"""Refried"" Black Beans and Walnut Meat Tacos (Vegan)",american,3015,133.18,332.91,127.84,"[""vegan""]","Tacos đậu đen và thịt hạt óc chó, bùi béo và giàu dinh dưỡng.",pending,https://your-domain.com/images/default-meal.png
Vegan Roasted Vegetable Quinoa Bowl with Creamy Green Sauce,american,1642,56.14,170.34,81.83,"[""vegan""]","Bát Quinoa rau củ nướng sốt xanh, đầy đủ dưỡng chất và cực ngon.",pending,https://your-domain.com/images/default-meal.png
"Vegan Eggnog (Dairy Free, Egg Free, Gluten Free)",american,2928,91.05,155.31,215.85,"[""vegan""]","Thức uống Eggnog thuần chay, béo ngậy hương quế và không chứa sữa.",pending,https://your-domain.com/images/default-meal.png
"Vegan raw corn, avocado and black bean salad",american,1267,44.72,195.48,34.04,"[""vegan""]","Salad ngô tươi, bơ và đậu đen, món ăn tươi mát và rực rỡ.",pending,https://your-domain.com/images/default-meal.png
Vegan Chocolate Layer Cake With Creamy Chocolate Filling,american,6464,82.81,942.6,262.43,"[""vegan""]","Món ăn dinh dưỡng chuẩn quốc tế, hỗ trợ mục tiêu sức khỏe.",pending,https://your-domain.com/images/default-meal.png
Seared Maitake Mushrooms,french,2047,13.34,55.4,196.91,"[""vegan""]","Nấm Maitake áp chảo vàng giòn, hương vị tự nhiên đậm đà đầy lôi cuốn.",pending,https://your-domain.com/images/default-meal.png
Zucchini Gratin,french,1704,48.89,133.58,108.22,"[""vegan""]","Bí ngòi bỏ lò kiểu Pháp, lớp phủ giòn tan và nhân mềm mượt.",pending,https://your-domain.com/images/default-meal.png
Salmon Burgers with Tartar Sauce,nordic,2851,172.89,109.41,191.28,"[""vegan""]","Burger cá hồi kèm sốt Tartar, món ăn sang trọng và giàu Omega-3.",pending,https://your-domain.com/images/default-meal.png
Whole Wheat Eggless Garlic Bread Rolls,american,2972,95.06,500.82,65.36,"[""vegan""]","Bánh mì tỏi lúa mạch nguyên cám, thơm nức và tốt cho sức khỏe.",pending,https://your-domain.com/images/default-meal.png
Toasted Coconut Chocolate Cream Pie,american,3600,96.57,276.56,234.17,"[""vegan""]","Bánh tart kem socola dừa nướng, béo ngậy và ngọt ngào khó cưỡng.",pending,https://your-domain.com/images/default-meal.png
Vegan Pesto Spaghetti Squash with Mushrooms & Sun-Dried Tomatoes,american,1293,30.43,110.1,81.2,"[""vegan""]","Bí sợi mì sốt Pesto nấm, món ăn thanh nhẹ và giàu hương vị.",pending,https://your-domain.com/images/default-meal.png
Pasta e fagioli,italian,2129,100.0,327.59,46.54,"[""vegan""]","Mì Ý nấu đậu truyền thống, món súp ấm áp và đậm đà bản sắc.",pending,https://your-domain.com/images/default-meal.png
The Whole Wheat,american,2821,80.52,395.26,102.03,"[""vegan""]","Bánh mì lúa mạch nguyên cám, mộc mạc và giàu chất xơ cho sức khỏe.",pending,https://your-domain.com/images/default-meal.png
Portobello Sliders with Pepita Pesto,american,2165,67.2,211.29,116.76,"[""vegan""]","Burger nấm nhỏ kèm sốt Pesto hạt bí, món khai vị độc đáo.",pending,https://your-domain.com/images/default-meal.png
Slow-Cooker Vegan Butternut Squash Soup with Apple,american,2116,49.4,225.93,112.78,"[""vegan""]","Súp bí đỏ và táo hầm chậm, vị ngọt thanh tao và ấm áp.",pending,https://your-domain.com/images/default-meal.png
Grilled Broccoli And Bread Salad With Pickled Shallots,american,2403,42.75,263.75,130.8,"[""vegan""]","Salad súp lơ nướng và bánh mì, điểm xuyết vị chua thanh của hành.",pending,https://your-domain.com/images/default-meal.png
"Green Bean Casserole (The Vegan, Gluten Free Sequel)",american,2327,37.46,211.74,147.84,"[""vegan""]","Đậu que bỏ lò phiên bản thuần chay, giòn ngon và không gluten.",pending,https://your-domain.com/images/default-meal.png
Vegan Crispy Stir-Fried Tofu With Broccoli Recipe,asian,3631,67.23,204.3,282.72,"[""vegan""]","Đậu hũ xào bông cải xanh giòn rụm, món ăn thanh đạm và giàu đạm.",pending,https://your-domain.com/images/default-meal.png
Quinoa chilli with avocado & coriander,south american,1613,63.63,199.77,62.16,"[""vegan""]","Súp Quinoa cay kèm bơ và ngò rí, đậm đà hương vị Nam Mỹ.",pending,https://your-domain.com/images/default-meal.png
Aloo Gobi,indian,929,26.33,176.83,12.93,"[""vegan""]","Khoai tây và súp lơ xào kiểu Ấn, thơm nồng gia vị cà ri đặc trưng.",pending,https://your-domain.com/images/default-meal.png
Apple-Cranberry Cobbler,american,4125,88.21,772.5,75.84,"[""vegan""]","Bánh táo và nam việt quất nướng, lớp phủ giòn tan và nhân chua ngọt.",pending,https://your-domain.com/images/default-meal.png
The Most Delicious Vegan Pad Kee Mao Recipe,american,5811,86.42,497.8,386.06,"[""vegan""]","Mì xào say rượu thuần chay, cay nồng và đậm đà hương vị Thái.",pending,https://your-domain.com/images/default-meal.png
Vegan Seared Pepper Tacos With Pintos And Avocado Crema,american,1668,25.68,158.11,103.65,"[""vegan""]","Tacos ớt chuông và đậu Pinto, phủ kem bơ béo ngậy hấp dẫn.",pending,https://your-domain.com/images/default-meal.png
Charred aubergines with white beans & salsa verde,mexican,3430,100.96,337.54,186.26,"[""vegan""]","Cà tím nướng kèm đậu trắng và sốt xanh, món ăn thanh tao.",pending,https://your-domain.com/images/default-meal.png
Yogurt Pancakes with Clementine Raspberry Compote,american,1509,26.62,228.04,54.43,"[""vegan""]","Bánh pancake sữa chua kèm mứt quýt dâu tây, bữa sáng ngọt ngào.",pending,https://your-domain.com/images/default-meal.png
Curried Carrot Ginger Soup,indian,1907,27.43,175.59,121.69,"[""vegan""]","Súp cà rốt gừng vị cà ri, ấm áp và kích thích vị giác tuyệt vời.",pending,https://your-domain.com/images/default-meal.png
Tomato Bisque with Cashew Cream,mediterranean,2413,63.64,156.49,170.3,"[""vegan""]","Súp cà chua kem hạt điều, sánh mịn và béo ngậy đầy quyến rũ.",pending,https://your-domain.com/images/default-meal.png
"Apple, Pear, And Sage Pie With Maple Walnut Crunch And Salted Honey Yogurt",american,4754,77.2,673.23,194.71,"[""vegan""]","Bánh táo lê hương lá thơm, giòn rụm hạt óc chó và mật phong.",pending,https://your-domain.com/images/default-meal.png
Crunchy Summer Salad with Creamy Vegan Avocado Dressing,american,2214,65.41,268.37,97.67,"[""vegan""]","Salad mùa hè giòn tươi kèm sốt bơ béo mịn, thanh mát bổ dưỡng.",pending,https://your-domain.com/images/default-meal.png
"Oatmeal, Fig, and Walnut Bars",american,6548,73.43,1059.84,223.88,"[""vegan""]","Thanh yến mạch sung và hạt óc chó, món ăn nhẹ giàu năng lượng.",pending,https://your-domain.com/images/default-meal.png
"Oatmeal, Fig, And Walnut Bars",american,5859,54.06,916.76,219.49,"[""vegan""]","Bánh yến mạch sung và hạt óc chó, giòn bùi và ngọt thanh tự nhiên.",pending,https://your-domain.com/images/default-meal.png
